"","pid","agree","hasChoice","advisor","inf","initialAnswer","finalAnswer","initialConfidence","finalConfidence","shift","cappedInfluence"
"1","1","0","FALSE","2",12,1,1,-31,-19,-12,12
"2","1","0","FALSE","2",-9,2,2,24,33,9,-9
"3","1","1","TRUE","1",0,2,2,48,48,0,0
"4","1","1","TRUE","2",3,1,1,-30,-33,3,3
"5","1","1","TRUE","1",5,2,2,29,34,5,5
"6","1","0","TRUE","1",18,2,2,43,25,-18,-12
"7","1","1","FALSE","1",10,2,2,30,40,10,10
"8","1","1","TRUE","2",-3,2,2,27,24,-3,-3
"9","1","0","TRUE","2",4,1,1,-20,-16,-4,4
"10","1","1","FALSE","2",19,2,2,23,42,19,19
"11","1","1","FALSE","1",-1,2,2,48,47,-1,-1
"12","1","1","FALSE","1",1,2,2,28,29,1,1
"13","1","1","FALSE","2",0,2,2,42,42,0,0
"14","1","1","FALSE","2",-1,1,1,-34,-33,-1,-1
"15","1","1","FALSE","2",0,2,2,39,39,0,0
"16","1","1","TRUE","1",-2,1,1,-32,-30,-2,-2
"17","1","1","TRUE","1",-1,2,2,38,37,-1,-1
"18","1","1","FALSE","1",3,2,2,32,35,3,3
"19","1","0","FALSE","2",18,2,2,42,24,-18,-13
"20","1","1","FALSE","1",0,2,2,37,37,0,0
"21","1","1","FALSE","1",10,2,2,33,43,10,10
"22","1","0","FALSE","1",29,2,1,26,-3,-29,29
"23","1","1","FALSE","2",0,2,2,53,53,0,0
"24","1","1","FALSE","1",-1,2,2,26,25,-1,-1
"25","1","1","TRUE","1",1,2,2,32,33,1,1
"26","1","0","FALSE","1",17,2,2,32,15,-17,17
"27","1","1","FALSE","1",2,2,2,33,35,2,2
"28","1","0","FALSE","1",11,1,1,-25,-14,-11,11
"29","1","1","FALSE","1",0,2,2,52,52,0,0
"30","1","1","FALSE","1",4,2,2,30,34,4,4
"31","1","1","FALSE","2",-3,1,1,-28,-25,-3,-3
"32","1","1","TRUE","2",0,2,2,33,33,0,0
"33","1","1","FALSE","1",0,1,1,-42,-42,0,0
"34","1","1","FALSE","1",-5,2,2,38,33,-5,-5
"35","1","0","FALSE","2",-8,2,2,23,31,8,-8
"36","1","0","FALSE","2",24,2,2,46,22,-24,-9
"37","1","1","FALSE","2",-2,1,1,-32,-30,-2,-2
"38","1","1","FALSE","2",-5,2,2,43,38,-5,-5
"39","1","1","TRUE","1",4,2,2,39,43,4,4
"40","1","1","FALSE","2",8,1,1,-26,-34,8,8
"41","1","1","TRUE","1",2,2,2,35,37,2,2
"42","1","1","FALSE","1",-4,2,2,35,31,-4,-4
"43","1","1","TRUE","1",7,1,1,-19,-26,7,7
"44","1","1","TRUE","1",-4,1,1,-33,-29,-4,-4
"45","1","1","FALSE","2",0,2,2,45,45,0,0
"46","1","0","FALSE","2",22,2,2,40,18,-22,-15
"47","1","1","TRUE","1",0,1,1,-30,-30,0,0
"48","1","1","TRUE","2",1,2,2,45,46,1,1
"49","1","0","TRUE","1",10,2,2,37,27,-10,10
"50","1","1","FALSE","1",-2,1,1,-38,-36,-2,-2
"51","1","1","FALSE","2",6,1,1,-34,-40,6,6
"52","1","1","FALSE","1",5,1,1,-33,-38,5,5
"53","1","1","FALSE","1",3,2,2,30,33,3,3
"54","1","1","FALSE","1",7,1,1,-37,-44,7,7
"55","1","1","FALSE","2",1,2,2,31,32,1,1
"56","1","1","FALSE","1",4,2,2,34,38,4,4
"57","1","1","FALSE","1",7,2,2,36,43,7,7
"58","1","1","TRUE","2",2,2,2,32,34,2,2
"59","1","1","TRUE","1",2,2,2,27,29,2,2
"60","1","1","FALSE","2",3,2,2,49,52,3,3
"61","1","1","FALSE","2",2,2,2,50,52,2,2
"62","1","0","FALSE","2",-1,2,2,44,45,1,-1
"63","1","1","FALSE","2",6,1,1,-37,-43,6,6
"64","1","1","TRUE","1",2,2,2,39,41,2,2
"65","1","0","TRUE","1",29,2,2,36,7,-29,-19
"66","1","1","FALSE","1",10,1,1,-27,-37,10,10
"67","1","1","TRUE","1",2,2,2,37,39,2,2
"68","1","1","FALSE","2",4,2,2,38,42,4,4
